platform,last_run_at,collected_count,new_count,status,message
tistory,2026-04-25 18:31:35,94,0,success,수집 완료
blogspot_kr,2026-04-25 18:32:21,69,0,success,수집 완료
blogspot_en,2026-04-25 18:32:27,7,0,success,수집 완료
naver,2026-04-25 18:32:27,50,0,success,수집 완료
tistory,2026-04-25 20:55:57,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
blogspot_kr,2026-04-25 20:55:57,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
blogspot_en,2026-04-25 20:55:57,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
naver,2026-04-25 20:55:57,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
tistory,2026-04-25 20:56:29,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
blogspot_kr,2026-04-25 20:56:29,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
blogspot_en,2026-04-25 20:56:29,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
naver,2026-04-25 20:56:29,0,0,skipped,14일 이내 실행 기록이 있어 건너뜀
tistory,2026-05-12 15:54:26,94,0,success,수집 완료
blogspot_kr,2026-05-12 15:54:38,69,0,success,수집 완료
blogspot_en,2026-05-12 15:54:42,7,0,success,수집 완료
naver,2026-05-12 15:54:43,50,0,success,수집 완료
